id,titulo,descricao,status,data
84,PAGUEI UMA CONTA ACESSANDO UM SITE DE EMISSÃO DE SEGUNDA VIA DA EMPRESA E DEPOIS DESCOBRI QUE HAVIA SOFRIDO UM [Editado pelo Reclame Aqui],"No dia de 07/12/2023, realizei o pagamento de uma conta da ligth no valor de R$ 370, 93 (trezentos e setenta reais e noventa e trê",Não respondida,Há 16 horas
85,Energia caindo toda noite,"Toda noite a energia simplesmente caí, oscila o tempo inteiro. A luz fica piscando o tempo inteiro, fica tão baixa que é impossíve",Não respondida,Há 16 horas
86,Falta de Luz Ilha do governador (4),Falta de luz Estou tendo falta de luz frequente no meu bairro.Irei registrar uma reclamação para cada falta de l,Não respondida,Há 16 horas
87,Falta de agendamento para serviço de alteração de carga,"Dia 17/01/24 fui a light pedir alteração de carga, já estava tudo pronto em casa de acordo com padrão light exigido. Ao fazer a so",Não respondida,Há 17 horas
88,Poda de Árvore,"Na Rua Luis Vahia Monteiro na altura do número 138, no Jardim Guanabara, Ilha do Governador, tem uma árvore que se encontra junto",Não respondida,Há 17 horas
89,Falta de luz recorrente,Falta luz no bairro de campo grande recorrentemente. Várias vezes ao dia o fornecimento e interrompido e esse problema já se esten,Não respondida,Há 17 horas
90,A LIGHT ESTÁ FALINDO?,"Sou cliente da Light a mais de 40 anos, mas o respeito e a consideração com os seus consumidores é menos que zero.E isso aco",Não respondida,Há 18 horas
91,QUEDA DE LUZ E QUEIMA DE ELETRODOMÉSTICO,"No meu condomínio costuma ter muitas quedas de luz e dentre uma dessas quedas a minha televisão pifou. Abri protocolo, fiz orçame",Não respondida,Há 18 horas
92,FALTA DE RESPEITO,"Sou morador da Rua Uruguai a mais de 30 anos, do numero 1572, ao lado do Tijuca Country. Sempre tivemos faltas constantes de luz,",Não respondida,Há 18 horas
93,Aumento de carga para trifásico,"Eu e minha esposa, minha enteada e meu netinho autista moramos em nossa casa, no dia 05 de janeiro de 2024 e fi",Não respondida,Há 19 horas
94,FALTA DE BAIXA EM PAGAMENTO,"oa tarde,Realizei o pagamento da conta referente ao mês de janeiro de 2024 em 18/01/2024, porém ainda consta como pend",Não respondida,Há 19 horas
95,Poste caído há dois dias e estou sem luz,"Poste caiu próximo a minha residência a light esteve no local mexeu o poste continuou no chão o poste ,eu estou sem luz a dois dia",Não respondida,Há 19 horas
96,Cabo cortado,Estou sem débito.estou a mais de 10 dias ligando para a light solicitando que religuem o cabo cortado. Até o momento só enviam car,Não respondida,Há 19 horas
97,Risco iminente de acidente,"Cabos energizados cruzando a rua com altura do asfalto em torno de 3,5 metros devido ao desprendimentos das abraçadeiras de fixaçã",Não respondida,Há 19 horas
98,Cobrança exorbitante da conta de luz,"Me mudei há 3 meses, e em nov e dez a minha conta de luz veio no valor coerente aos meus gastos de energia. Eis que recebo a",Não respondida,Há 19 horas
99,A Light ameaça seus clientes sem razão,A concessionária de energia elétrica Light envia os dados de seus clientes para o SERASA sem qualquer outro tipo de contato. Minha,Não respondida,Há 19 horas
100,Conta com leitura estimada (GD),Foi realizada a troca do medidor para o bidirecional na data 20/12/2023. Emitiram uma fatura com leitura do dia,Não respondida,Há 20 horas
101,Conta com leitura estimada (GD),Foi realizada a troca do medidor para o bidirecional na data 20/12/2023. Emitiram uma fatura com leitura do dia,Não respondida,Há 20 horas
102,SEM LUZ A DIVERSOS DIAS E DEMORA NO RELIGAMENTO,Venho por meio desta reclamação relatar que estou tendo problemas relacionados ao serviço da LIGHT. Foi solicitado na terça-feira,Não respondida,Há 20 horas
103,Condomínio sem luz,"Estamos com uma fase desbalanceada e com isso parte do prédio está sem luz, assim como os elevadores estão parados bem como a bomb",Não respondida,Há 20 horas
104,Produtos estragados,"Caros, estou a mais de 24horas sem uma fase da energia, e o meu freezer não funciona, os produtos da minha loja estragaram, e não",Não respondida,Há 21 horas
105,Equipamento Queimado,"Em virtude da falta de luz em Copacabana no dia 28/01/24, minha TV parou de funcionar . Chamei a assistência técnica da Samsung qu",Não respondida,Há 21 horas
106,Não consigo acessar o portal da light para verificar minha dívida,"A light está me cobrando uma dívida, não consigo acessar o portal para verificar minha dívida, sempre apresenta erro.",Não respondida,Há 1 dia
107,Falta de Luz por problema de cabo queimado na rua.,Estou sem luz desde a madrugada do dia 31/01 devido um curto no poste na rua que acabou danificando o cabo de energia da light que,Não respondida,Há 1 dia
108,Troca de E-mail,"Bom dia, venho aqui indignada pois estou a 2 meses tentando trocar o e-mail para que eu possa entrar no app e não consigo. É um ab",Não respondida,Há 1 dia
109,Falta de luz na ilha do governador tv queimou.,"Ontem, 01.02.24 a ilha do governador sofreu mais uma vez com a instabilidade de luz. Por todo dia a luz chegava e caia o tem",Não respondida,Há 1 dia
110,Cobrança desproporcional de taxa mínima,"Tenho um imóvel que neste momento não está sendo utilizado e sou cobrada R$ 106,00 referente a 100 kw somente por ser um imóvel tr",Não respondida,Há 1 dia
111,SEM LUZ HÁ 48 HORAS,"Estou há dois dias sem energia elétrica! Fiquei sem luz, chamei um eletricista e ele me informou que meu relógio estava em curto.",Não respondida,Há 1 dia
112,Light não concede bolero de acordo,"Fiz uma negociação de contas abertas, pelo aplicativo da light, conforme orientações do WhatsApp que na verdade não te ajuda em na",Não respondida,Há 1 dia
113,SISTEMA DE RECLAMAÇÕES LIGHT NÃO REGISTRA AS SOLICITAÇÕES DOS CLIENTES,"Sou beneficiário do CADÚnico e a empresa Light retirou dos meus registros a inscrição na TARIFA SOCIAL, sem motivo algum, porque m",Não respondida,Há 1 dia
